date	close
1-Feb-08	1623885
31-Jan-08	1653268
30-Jan-08	1645053
29-Jan-08	1757502
28-Jan-08	1401696
25-Jan-08	1353470
24-Jan-08	1573661
23-Jan-08	1632892
22-Jan-08	1646905
18-Jan-08	1656945
17-Jan-08	1658555
16-Jan-08	1396137
15-Jan-08	1373676
14-Jan-08	1595247
11-Jan-08	1656177
10-Jan-08	1658698
9-Jan-08	1676350
8-Jan-08	1642965
7-Jan-08	1403235
4-Jan-08	1376727
3-Jan-08	1412657
2-Jan-08	1282603
31-Dec-07	1612408
28-Dec-07	1679676
27-Dec-07	1688819
26-Dec-07	1384128
24-Dec-07	1339935
21-Dec-07	1566864
20-Dec-07	1636072
19-Dec-07	1656611
18-Dec-07	1682739
17-Dec-07	1666227
14-Dec-07	1401016
13-Dec-07	1357760
12-Dec-07	1622309
11-Dec-07	1720063
10-Dec-07	1809684
7-Dec-07	1790981
6-Dec-07	1722803
5-Dec-07	1437313
4-Dec-07	1359067
3-Dec-07	1599626
30-Nov-07	1680475
29-Nov-07	1649847
28-Nov-07	1721564
27-Nov-07	1809942
26-Nov-07	1464953
23-Nov-07	1360517
21-Nov-07	1620816
20-Nov-07	1707078
19-Nov-07	1708521
16-Nov-07	1728821
15-Nov-07	1736150
14-Nov-07	1405788
13-Nov-07	1340738
12-Nov-07	1620089
9-Nov-07	1694261
8-Nov-07	1718324
7-Nov-07	1726715
6-Nov-07	1737004
5-Nov-07	1388179
2-Nov-07	1328812
1-Nov-07	1565219
31-Oct-07	1661087
30-Oct-07	1709682
29-Oct-07	1738936
26-Oct-07	1701834
25-Oct-07	1406767
24-Oct-07	1353244
23-Oct-07	1613609
22-Oct-07	1717050
19-Oct-07	1764554
18-Oct-07	1755252
17-Oct-07	1760519
16-Oct-07	1425438
15-Oct-07	1371460
12-Oct-07	1626461
11-Oct-07	1706639
10-Oct-07	1740473
9-Oct-07	1747876
8-Oct-07	1742909
5-Oct-07	1424887
4-Oct-07	1393737
3-Oct-07	1637749
2-Oct-07	1709265
1-Oct-07	1734864
28-Sep-07	1828367
27-Sep-07	1804177
26-Sep-07	1472984
25-Sep-07	1421301
24-Sep-07	1675503
21-Sep-07	1775166
20-Sep-07	1790872
19-Sep-07	1805838
18-Sep-07	1814012
17-Sep-07	1507420
14-Sep-07	1482253
13-Sep-07	1743400
12-Sep-07	1808050
11-Sep-07	1850291
10-Sep-07	1861893
7-Sep-07	1596586
6-Sep-07	1421244
5-Sep-07	1417867
4-Sep-07	1697623
31-Aug-07	1862525
30-Aug-07	1835509
29-Aug-07	1879450
28-Aug-07	1907114
27-Aug-07	1534412
24-Aug-07	1478577
23-Aug-07	1762673
22-Aug-07	1830689
21-Aug-07	1867844
20-Aug-07	1874971
17-Aug-07	1876094
16-Aug-07	1482650
15-Aug-07	1434138
14-Aug-07	1775057
13-Aug-07	1873021
10-Aug-07	1920211
9-Aug-07	1939943
8-Aug-07	1941531
7-Aug-07	1529952
6-Aug-07	1490429
3-Aug-07	1816473
2-Aug-07	1902439
1-Aug-07	1912777
31-Jul-07	1931768
30-Jul-07	1933628
27-Jul-07	1505096
26-Jul-07	1440512
25-Jul-07	1769106
24-Jul-07	1855179
23-Jul-07	1887301
20-Jul-07	1915509
19-Jul-07	1931627
18-Jul-07	1506206
17-Jul-07	1465242
16-Jul-07	1792174
13-Jul-07	1915025
12-Jul-07	1915041
11-Jul-07	1947618
10-Jul-07	1948777
9-Jul-07	1521365
6-Jul-07	1456944
5-Jul-07	1812981
3-Jul-07	1895105
2-Jul-07	1918483
29-Jun-07	1926193
28-Jun-07	1934072
27-Jun-07	1526377
26-Jun-07	1468165
25-Jun-07	1765744
22-Jun-07	1890990
21-Jun-07	1898930
20-Jun-07	1933668
19-Jun-07	1933220
18-Jun-07	1542175
15-Jun-07	1490177
14-Jun-07	1770328
13-Jun-07	1835518
12-Jun-07	1476257
11-Jun-07	1849084
8-Jun-07	1874711
7-Jun-07	1489437
6-Jun-07	1456122
5-Jun-07	1777836
4-Jun-07	1900730
1-Jun-07	1900802
31-May-07	1971410
30-May-07	1952460
29-May-07	1512962
25-May-07	1451613
24-May-07	1776105
23-May-07	1872124
22-May-07	1897764
21-May-07	1933088
18-May-07	1926540
17-May-07	1523899
16-May-07	1425643
15-May-07	1738715
14-May-07	1846767
11-May-07	1866032
10-May-07	1899231
9-May-07	1890684
8-May-07	1476678
7-May-07	1427505
4-May-07	1730355
3-May-07	1836915
2-May-07	1842653
1-May-07	1855137
30-Apr-07	1869180
27-Apr-07	1480596
26-Apr-07	1444688
25-Apr-07	1765204
24-Apr-07	1993356
